# derived from http://www.medo.jp/anatomy_la.htm
# 0.rb によつて CSV にした．

arcus pedis transversus,横足弓,transverse arch of foot
arcus pedis transversus distalis,遠位横足弓,distal transverse arch of foot
arcus pedis transversus proximalis,近位横足弓,proximal transverse arch of foot
arcus plantaris,足底動脈弓,plantar arch
arcus plantaris profundus,深足底動脈弓,deep plantar arch
arcus plantaris superficialis,浅足底動脈弓,superficial plantar arch
arcus posterior atlantis,後弓,posterior arch
arcus pubis,恥骨弓,pubic arch
arcus superciliaris,眉弓,superciliary arch
arcus tendineus,腱弓,tendinous arch
arcus tendineus musculi levator ani,肛門挙筋腱弓,tendinous arch of levator ani
arcus tendineus fasciae pelvis,骨盤筋膜腱弓,tendinous arch of pelvic fascia
arcus venae azygos,奇静脈弓,arch of azygos vein
arcus venosus dorsalis pedis,足背静脈弓,dorsal venous arch of foot
arcus venosus juguli,頚静脈弓,--
arcus venosus palmaris profundus,深掌静脈弓,deep venous palmar arch
arcus venosus palmaris superficialis,浅掌静脈弓,superficial venous palmar arch
arcus venosus plantaris,足底静脈弓,plantar venous arch
arcus vertebrae,椎弓,vertebral arch
arcus zygomaticus,頬骨弓,zygomatic arch
area,野∥区,area
area cochleae,蝸牛野,cochlear area
area cribrosa,篩状野,cribriform area
area gastricae,胃小区,gastric area
area hypothalamica lateralis,視床下部外側野,lateral hypothalamic area
area hypothalamica posterior,視床下部後野、視床下部後域,posterior hypothalamic area//posterior hypothalamic region
area hypothalamica rostralis,視床下部前野,anterior hypothalamic area//anterior hypothalamic region
area intercondylaris anterior,前顆間区,anterior intercondylar area
area nuda,無漿膜野,bare area
area postrema,最後野,area postrema
area preoptica,視索前野、視索前域,preoptic area
area septalis,中隔部、中隔野,septal area
area subcallosa,梁下野,subcallosal area; subcallosal gyrus
area vestibularis inferior,下前庭野,inferior vestibular area 
area vestibularis superior,上前庭野,superior vestibular area
areola mammae,乳輪,areola of mamma//mammary areola
arrector,立筋,arrector
arteria,動脈,artery
arteriola glomerularis efferens,輸出糸球体細動脈,efferent glomerular arteriole//efferent arteriole
arteriola medialis retinae,網膜内側動脈,medial retinal arteriole
articulatio,関節,joint
articulatio acromioclavicularis,肩鎖関節,acromioclavicular joint
articulatio atlantoaxialis lateralis,外側環軸関節,lateral atlanto-axial joint
articulatio atlantooccipitalis,環軸後頭関節,atlanto-occipital joint
articulatio calcaneocuboidea,踵立方関節,calcaneocuboid joint
articulatio capitis costae,肋骨頭関節,joint of head of rib 
articulationes carpi,手根関節,carpal joint
articulationes costovertebrales,肋椎関節,costovertebral joint
articulatio coxae/*articulatio coxofemoralis,股関節,hip joint
articulatio cricoarytenoidea,輪状披裂関節,crico-arytenoid joint
articulatio cricothyroidea,輪状甲状関節,cricothyroid joint
articulatio cubiti,肘関節,elbow joint
articulatio cuneocuboidea,楔立方関節,cuneocuboid joint
articulatio genus,膝関節,knee joint
articulatio glenohumeralis,肩関節,glenohumeral joint
articulatio humeri,肩関節,shoulder joint
articulatio humeroradialis,腕橈関節,humeroradial joint
articulatio humeroulnaris,腕尺関節,humeroulnar joint
articulationes intercarpales,手根間関節,intercarpal joint
articulationes intermetatarsales,中足間関節,intermetatarsal joint
articulatio lumbosacralis,腰仙関節,lumbosacral joint
articulationes metacarpophalangeae,中手指節関節,metacarpophalangeal joint
articulationes metatarsophalangeae,中足趾節関節,metatarsophalangeal joint
articulationes ossiculorum auditus,耳小骨関節,articulations of auditory ossicles[pl]
articulatio ossis pisiformis,豆状骨関節,pisiform joint
articulationes pedis,足の関節,joint of foot
articulatio plana,平面関節,plane joint
articulatio radiocarpalis,橈骨手根関節,wrist joint
articulatio radioulnaris distalis,下橈尺関節,distal radio-ulnar joint
articulatio radioulnaris proximalis,上橈尺関節,proximal radioulnar joint
articulatio sacroiliaca,仙腸関節,sacro-iliac joint
articulatio sellaris,鞍関節,saddle joint
articulatio simplex,単関節,simple joint
articulatio sternoclavicularis,胸鎖関節,sternoclavicular joint
articulatio subtalaris,距骨下関節,articulatio talocalcanea[L]
articulatio talocalcanea,距骨下関節,articulatio subtalaris[L]
articulatio talocalcaneonavicularis,距踵舟関節,articulatio subtalaris[L]
articulatio talocruralis,距腿関節,ankle joint
articulatio tarsi transversa,横足根関節,transverse tarsal joint
articulationes tarsometatarsales,足根中足関節,tarsometatarsal joint
articulatio temporomandibularis,顎関節,temporomandibular joint
articulatio tibiofibularis,脛腓関節,tibiofibular joint
articulatio trochoidea,車軸関節,--
articulationes zygapophysiales,椎間関節,zygapophysial joint
atrium,心房∥前房,atrium
atrium cordis,心房,cardiac atrium
atrium cordis sinistrum//atrium sinistrum,左心房,left atrium
atrium dextrum,右心房,right atrium
atrium meatus medii,中鼻道前房,atrium of meatus medii of nose†
auricula,耳介,auricle
auricula atrii,心耳,auricular appendage†
auris,耳,ear
auris externa,外耳,external ear
auris interna,内耳,internal ear
auris media,中耳,middle ear
axilla,腋窩,--
axis,軸,axis
axis bulbi externus,外眼球軸,external axis of eyeball
axis bulbi internus,内眼球軸,internal axis of eyeball
axis lentis,水晶体軸,--
axis opticus,視軸,--
axis pelvis,骨盤軸,--
,,
,,
basis,底,base
basis cochleae,蝸牛底,cochlear base†
basis cordis,心底,base of heart
basis cranii,頭蓋底,base of the skull
basis cranii externa,外頭蓋底,external surface of cranial base
basis cranii interna,内頭蓋底,internal surface of cranial base
basis mandibulae,下顎底,mandibular base
basis modioli,蝸牛軸底,base of modiolus
basis ossis sacri,仙骨底,base of sacrum
basis patellae,膝蓋骨底,base of patella
basis pulmonis,肺底,base of lung
basis stapedis,アブミ骨底,base of stapes
bifurcatio,二分,bifurcation
bifurcatio aortae,大動脈分岐部,aortic bifurcation
bifurcatio tracheae,気管分岐部,tracheal bifurcation 
brachium,上腕,upper arm
bronchioli respiratorii,呼吸細気管支,respiratory bronchiole
bronchioli terminales,終末細気管支,terminal bronchiole
bronchus,気管支,bronchus
bronchus lobaris superior sinister,左上葉気管支,left superior lobar bronchus
bronchus principalis dexter,右主気管支,right main bronchus
bucca,頬,--
bulbus,球,bulb
bulbus aortae,大動脈球,bulb of aorta
bulbus cornus posterior,後角球,bulb of posterior horn
bulbus duodeni,十二指腸球部,duodenal bulb†
bulbus oculi,眼球,ocular bulb
bulbus olfactorius,嗅球,olfactory bulb
bulbus penis,尿道球,bulb of penis
bulbus pili,毛球,hair bulb
bulbus venae jugularis inferior,頚静脈下球,inferior bulb of jugular vein
bulbus venae jugularis superior,頚静脈上球,superior jugular bulb†
bulbus vestibuli,前庭球,vestibular bulb†
bulla,胞,bulla
bulla ethmoidalis,篩骨胞,ethmoidal bulla
bursa,包、嚢†,bursa[E][L]【包、嚢†】/pl bursae/
bursa anserina,鵞足包,anserine bursa
bursae colli,頚の滑液包,bursa of neck
bursa infrahyoidea,舌骨下包,infrahyoid bursa
bursae intermusculares musculorum gluteorum,殿筋の筋間包,intermuscular gluteal bursae[pl]
bursae membri superioris,上肢の滑液包,bursae of upper limb[pl]
bursa musculi coracobrachialis,烏口腕筋の滑液包,coracobrachial bursa
